submission_date,tot_cases,new_cases,tot_deaths,new_deaths,state_name
6/9/2020,381505,768,30351,71,New York
6/10/2020,382136,631,30409,58,New York
6/11/2020,382913,777,30481,72,New York
6/12/2020,378606,-4307,30511,30,New York
6/13/2020,379459,853,30565,54,New York
6/14/2020,380052,593,30605,40,New York
6/15/2020,380734,682,30645,40,New York
6/16/2020,386489,5755,30709,64,New York
6/17/2020,386990,501,30750,41,New York
6/18/2020,387645,655,30804,54,New York
6/19/2020,388330,685,30824,20,New York
6/20/2020,389213,883,30880,56,New York
6/21/2020,389737,524,30927,47,New York
6/22/2020,390326,589,30956,29,New York
6/23/2020,390894,568,30992,36,New York
6/24/2020,391510,616,31020,28,New York
6/25/2020,392292,782,31066,46,New York
6/26/2020,393041,749,31095,29,New York
6/27/2020,393728,687,31134,39,New York
6/28/2020,394250,522,31744,610,New York
6/29/2020,394667,417,31769,25,New York
6/30/2020,395294,627,31784,15,New York
7/1/2020,395982,688,31810,26,New York
7/2/2020,396869,887,31831,21,New York
7/3/2020,397675,806,31855,24,New York
7/4/2020,398327,652,31891,36,New York
7/5/2020,398828,501,31906,15,New York
7/6/2020,399411,583,31928,22,New York
7/7/2020,399925,514,31940,12,New York
7/8/2020,400719,794,31968,28,New York
7/9/2020,401345,626,31999,31,New York
7/10/2020,402110,765,32015,16,New York
7/11/2020,402861,751,32024,9,New York
7/12/2020,403474,613,32069,45,New York
7/13/2020,404051,577,32088,19,New York
7/14/2020,405017,966,32109,21,New York
7/15/2020,405876,859,32133,24,New York
7/16/2020,406594,718,32139,6,New York
7/17/2020,407334,740,32158,19,New York
7/18/2020,407972,638,32179,21,New York
7/19/2020,408495,523,32198,19,New York
7/20/2020,408730,235,32203,5,New York
7/21/2020,409845,1115,32222,19,New York
7/22/2020,410560,715,32263,41,New York
7/23/2020,411140,580,32272,9,New York
7/24/2020,412062,922,32289,17,New York
7/25/2020,412562,500,32304,15,New York
7/26/2020,413091,529,32320,16,New York
7/27/2020,413834,743,32329,9,New York
7/28/2020,414479,645,32338,9,New York
7/29/2020,415209,730,32355,17,New York
7/30/2020,415960,751,32368,13,New York
7/31/2020,416633,673,32377,9,New York
8/1/2020,417273,640,32395,18,New York
8/2/2020,417730,457,32410,15,New York
8/3/2020,418352,622,32419,9,New York
8/4/2020,419131,779,32429,10,New York
8/5/2020,419752,621,32431,2,New York
8/6/2020,420523,771,32438,7,New York
8/7/2020,421137,614,32449,11,New York
8/8/2020,421834,697,32455,6,New York
8/9/2020,422349,515,32465,10,New York
8/10/2020,422824,475,32472,7,New York
8/11/2020,423587,763,32487,15,New York
8/12/2020,424329,742,32497,10,New York
8/13/2020,424955,626,32509,12,New York
8/14/2020,425315,360,32512,3,New York
8/15/2020,426386,1071,32526,14,New York
8/16/2020,426909,523,32535,9,New York
8/17/2020,427270,361,32548,13,New York
8/18/2020,427897,627,32553,5,New York
8/19/2020,428558,661,32553,0,New York
8/20/2020,429087,529,32559,6,New York
8/21/2020,429727,640,32567,8,New York
8/22/2020,430408,681,32582,15,New York
8/23/2020,430885,477,32592,10,New York
8/24/2020,431335,450,32599,7,New York
8/25/2020,431920,585,32604,5,New York
8/26/2020,432458,538,32610,6,New York
8/27/2020,433245,787,32619,9,New York
8/28/2020,433866,621,32624,5,New York
8/29/2020,434465,599,32634,10,New York
8/30/2020,435100,635,32646,12,New York
8/31/2020,435783,683,32655,9,New York
9/1/2020,436482,699,32662,7,New York
9/2/2020,437251,769,32667,5,New York
9/3/2020,438057,806,32679,12,New York
9/4/2020,438899,842,32684,5,New York
9/5/2020,439421,522,32685,1,New York
9/6/2020,440149,728,32706,21,New York
9/7/2020,440677,528,32714,8,New York
9/8/2020,441214,537,32715,1,New York
9/9/2020,442058,844,32717,2,New York
9/10/2020,442680,622,32722,5,New York
9/11/2020,444061,1381,32729,7,New York
9/12/2020,444604,543,32731,2,New York
9/13/2020,445508,904,32742,11,New York
9/14/2020,446170,662,32753,11,New York
9/15/2020,446888,718,32765,12,New York
9/16/2020,447582,694,32773,8,New York
9/17/2020,448491,909,32783,10,New York
9/18/2020,449568,1077,32784,1,New York
9/19/2020,450255,687,32791,7,New York
9/20/2020,451041,786,32797,6,New York
9/21/2020,451648,607,32795,-2,New York
9/22/2020,452278,630,32796,1,New York
9/23/2020,453060,782,32802,6,New York
9/24/2020,454021,961,32809,7,New York
9/25/2020,454996,975,32817,8,New York
9/26/2020,455920,924,32825,8,New York
9/27/2020,456773,853,32837,12,New York
9/28/2020,457616,843,32848,11,New York
9/29/2020,458811,1195,32859,11,New York
9/30/2020,460070,1259,32870,11,New York
10/1/2020,461526,1456,32892,22,New York
10/2/2020,463195,1669,32894,2,New York
10/3/2020,464762,1567,32909,15,New York
10/4/2020,465896,1134,32929,20,New York
10/5/2020,466863,967,32939,10,New York
10/6/2020,468341,1478,32950,11,New York
10/7/2020,469613,1272,32958,8,New York
10/8/2020,471445,1832,32971,13,New York
10/9/2020,473136,1691,32977,6,New York
10/10/2020,474510,1374,32983,6,New York
10/11/2020,475540,1030,32990,7,New York
10/12/2020,476627,1087,33008,18,New York
10/13/2020,478019,1392,33022,14,New York
10/14/2020,479487,1468,33033,11,New York
10/15/2020,481030,1543,33042,9,New York
10/16/2020,482711,1681,33061,19,New York
10/17/2020,483689,978,33067,6,New York
10/18/2020,485746,2057,33089,22,New York
10/19/2020,486702,956,33099,10,New York
10/20/2020,488301,1599,33113,14,New York
10/21/2020,490085,1784,33121,8,New York
10/22/2020,491687,1602,33140,19,New York
10/23/2020,494844,3157,33148,8,New York
10/24/2020,496903,2059,33164,16,New York
10/25/2020,498339,1436,33172,8,New York
10/26/2020,499835,1496,33193,21,New York
10/27/2020,501776,1941,33206,13,New York
10/28/2020,503924,2148,33228,22,New York
10/29/2020,506674,2750,33247,19,New York
10/30/2020,508972,2298,33260,13,New York
10/31/2020,510899,1927,33276,16,New York
11/1/2020,512837,1938,33290,14,New York
11/2/2020,514566,1729,33303,13,New York
11/3/2020,517015,2449,33324,21,New York
11/4/2020,519145,2130,33348,24,New York
11/5/2020,522405,3260,33367,19,New York
11/6/2020,525738,3333,33386,19,New York
11/7/2020,529244,3506,33414,28,New York
11/8/2020,532732,3488,33439,25,New York
11/9/2020,535894,3162,33458,19,New York
11/10/2020,539811,3917,33495,37,New York
11/11/2020,544646,4835,33514,19,New York
11/12/2020,549433,4787,33546,32,New York
11/13/2020,554544,5111,33575,29,New York
11/14/2020,560187,5643,33597,22,New York
11/15/2020,563637,3450,33633,36,New York
11/16/2020,567664,4027,33664,31,New York
11/17/2020,572521,4857,33693,29,New York
11/18/2020,577838,5317,33740,47,New York
11/19/2020,583231,5393,33784,44,New York
11/20/2020,588632,5401,33827,43,New York
11/21/2020,594438,5806,33859,32,New York
11/22/2020,603592,9154,33897,38,New York
11/23/2020,609609,6017,33924,27,New York
11/24/2020,614699,5090,33977,53,New York
11/25/2020,621292,6593,34022,45,New York
11/26/2020,628533,7241,34094,72,New York
11/27/2020,636341,7808,34129,35,New York
11/28/2020,642047,5706,34179,50,New York
11/29/2020,649122,7075,34231,52,New York
11/30/2020,657065,7943,34290,59,New York
12/1/2020,664845,7780,34358,68,New York
12/2/2020,673656,8811,34422,64,New York
12/3/2020,684310,10654,34496,74,New York
12/4/2020,694931,10621,34563,67,New York
12/5/2020,705822,10891,34639,76,New York
12/6/2020,715114,9292,34707,68,New York
12/7/2020,723002,7888,34798,91,New York
12/8/2020,733443,10441,34851,53,New York
12/9/2020,743502,10059,34942,91,New York
12/10/2020,753800,10298,35048,106,New York
12/11/2020,764684,10884,35136,88,New York
12/12/2020,774812,10128,35244,108,New York
12/13/2020,784475,9663,35360,116,New York
12/14/2020,794310,9835,35462,102,New York
12/15/2020,803819,9509,35582,120,New York
12/16/2020,813344,9525,35698,116,New York
12/17/2020,824814,11470,35828,130,New York
12/18/2020,836002,11188,35944,116,New York
12/19/2020,845565,9563,36064,120,New York
12/20/2020,856465,10900,36202,138,New York
12/21/2020,866223,9758,36327,125,New York
12/22/2020,876564,10341,36469,142,New York
12/23/2020,889669,13105,36655,186,New York
12/24/2020,902016,12347,36801,146,New York
12/25/2020,914526,12510,36931,130,New York
12/26/2020,924499,9973,37064,133,New York
12/27/2020,933842,9343,37187,123,New York
12/28/2020,945537,11695,37320,133,New York
12/29/2020,956638,11101,37453,133,New York
12/30/2020,969524,12886,37610,157,New York
12/31/2020,986424,16900,37753,143,New York
1/1/2021,1003193,16769,37912,159,New York
1/2/2021,1016848,13655,38042,130,New York
1/3/2021,1030028,13180,38198,156,New York
1/4/2021,1042084,12056,38348,150,New York
1/5/2021,1055186,13102,38526,178,New York
1/6/2021,1072468,17282,38697,171,New York
1/7/2021,1090837,18369,38878,181,New York
1/8/2021,1110110,19273,39059,181,New York
1/9/2021,1127777,17667,39258,199,New York
1/10/2021,1142559,14782,39441,183,New York
1/11/2021,1156626,14067,39627,186,New York
1/12/2021,1172296,15670,39792,165,New York
1/13/2021,1186627,14331,40015,223,New York
1/14/2021,1202414,15787,40234,219,New York
1/15/2021,1221102,18688,40428,194,New York
1/16/2021,1236099,14997,40609,181,New York
1/17/2021,1250854,14755,40804,195,New York
1/18/2021,1263377,12523,40977,173,New York
1/19/2021,1275240,11863,41186,209,New York
1/20/2021,1287200,11960,41399,213,New York
1/21/2021,1303000,15800,41582,183,New York
1/22/2021,1317713,14713,41766,184,New York
1/23/2021,1331089,13376,41954,188,New York
1/24/2021,1343849,12760,42149,195,New York
1/25/2021,1354744,10895,42338,189,New York
1/26/2021,1364841,10097,42494,156,New York
1/27/2021,1377104,12263,42705,211,New York
1/28/2021,1391114,14010,42912,207,New York
1/29/2021,1404205,13091,43091,179,New York
1/30/2021,1415817,11612,43271,180,New York
1/31/2021,1425805,9988,43446,175,New York
2/1/2021,1434344,8539,43607,161,New York
2/2/2021,1441306,6962,43761,154,New York
2/3/2021,1447979,6673,43942,181,New York
2/4/2021,1456325,8346,44100,158,New York
2/5/2021,1466666,10341,44296,196,New York
2/6/2021,1477033,10367,44487,191,New York
2/7/2021,1486862,9829,44632,145,New York
2/8/2021,1495178,8316,44782,150,New York
2/9/2021,1502143,6965,44958,176,New York
2/10/2021,1510909,8766,45106,148,New York
2/11/2021,1520324,9415,45249,143,New York
2/12/2021,1528866,8542,45421,172,New York
2/13/2021,1536773,7907,45556,135,New York
2/14/2021,1544674,7901,45687,131,New York
2/15/2021,1551266,6592,45824,137,New York
2/16/2021,1557459,6193,45933,109,New York
2/17/2021,1567001,9542,46091,158,New York
2/18/2021,1575286,8285,46243,152,New York
2/19/2021,1583328,8042,46371,128,New York
2/20/2021,1590225,6897,46499,128,New York
2/21/2021,1596794,6569,46600,101,New York
2/22/2021,1603471,6677,46711,111,New York
2/23/2021,1610061,6590,46824,113,New York
2/24/2021,1617264,7203,46936,112,New York
2/25/2021,1626312,9048,47068,132,New York
2/26/2021,1633957,7645,47188,120,New York
2/27/2021,1641879,7922,47297,109,New York
2/28/2021,1648893,7014,47412,115,New York
3/1/2021,1656328,7435,47505,93,New York
3/2/2021,1661918,5590,47624,119,New York
3/3/2021,1668875,6957,47729,105,New York
3/4/2021,1676446,7571,47818,89,New York
3/5/2021,1685287,8841,47930,112,New York
3/6/2021,1692633,7346,48023,93,New York
3/7/2021,1698819,6186,48104,81,New York
3/8/2021,1705512,6693,48174,70,New York
3/9/2021,1711908,6396,48267,93,New York
3/10/2021,1718341,6433,48362,95,New York
3/11/2021,1725565,7224,48454,92,New York
3/12/2021,1732154,6589,48555,101,New York
1/22/2020,0,0,0,0,Oklahoma
1/22/2020,0,0,0,0,Alaska
1/22/2020,0,0,0,0,Arkansas
1/22/2020,0,0,0,0,Utah
1/22/2020,0,0,0,0,New Mexico
1/22/2020,0,0,0,0,Puerto Rico
1/22/2020,0,0,0,0,Texas
1/22/2020,0,0,0,0,Pennsylvania
1/22/2020,0,0,0,0,Ohio
1/22/2020,0,0,0,0,West Virginia
1/22/2020,0,0,0,0,Georgia
1/22/2020,0,0,0,0,Vermont
1/22/2020,0,0,0,0,Alabama
1/22/2020,0,0,0,0,Maryland
1/22/2020,0,0,0,0,Arizona
1/22/2020,0,0,0,0,New Jersey
1/22/2020,0,0,0,0,Mississippi
1/22/2020,0,0,0,0,Guam
1/22/2020,0,0,0,0,South Carolina
1/22/2020,0,0,0,0,Virgin Islands
1/22/2020,0,0,0,0,Federated States of Micronesia
1/22/2020,0,0,0,0,Wisconsin
1/22/2020,0,0,0,0,Rhode Island
1/22/2020,0,0,0,0,North Carolina
1/22/2020,0,0,0,0,Missouri
1/22/2020,0,0,0,0,Louisiana
1/22/2020,0,0,0,0,North Dakota
1/22/2020,0,0,0,0,Virginia
1/22/2020,0,0,0,0,Idaho
1/22/2020,0,0,0,0,District of Columbia
1/22/2020,0,0,0,0,Maine
1/22/2020,0,0,0,0,Indiana
1/22/2020,0,0,0,0,California
1/22/2020,0,0,0,0,Nebraska
1/22/2020,0,0,0,0,Illinois
1/22/2020,0,0,0,0,Montana
1/22/2020,0,0,0,0,Oregon
1/22/2020,0,0,0,0,New Hampshire
1/22/2020,0,0,0,0,Delaware
1/22/2020,0,0,0,0,Connecticut
1/22/2020,0,0,0,0,Wyoming
1/22/2020,0,0,0,0,Kentucky
1/22/2020,0,0,0,0,Nevada
1/22/2020,0,0,0,0,Michigan
1/22/2020,0,0,0,0,Minnesota
1/22/2020,1,1,0,0,Washington
1/22/2020,0,0,0,0,American Samoa
1/22/2020,0,0,0,0,Massachusetts
1/22/2020,0,0,0,0,Northern Mariana Islands
1/22/2020,0,0,0,0,Tennessee
1/22/2020,0,0,0,0,Colorado
1/22/2020,0,0,0,0,Iowa
1/22/2020,0,0,0,0,Kansas
1/22/2020,0,0,0,0,South Dakota
1/22/2020,0,0,0,0,Marshall Islands
1/22/2020,0,0,0,0,Florida
1/22/2020,0,0,0,0,Hawaii
1/22/2020,0,0,0,0,Republic of Palau
1/23/2020,0,0,0,0,Ohio
1/23/2020,0,0,0,0,Tennessee
1/23/2020,0,0,0,0,Puerto Rico
1/23/2020,0,0,0,0,Texas
1/23/2020,0,0,0,0,New Mexico
1/23/2020,0,0,0,0,Hawaii
1/23/2020,0,0,0,0,Pennsylvania
1/23/2020,0,0,0,0,Kansas
1/23/2020,0,0,0,0,Mississippi
1/23/2020,0,0,0,0,Oregon
1/23/2020,0,0,0,0,Kentucky
1/23/2020,0,0,0,0,Minnesota
1/23/2020,0,0,0,0,Vermont
1/23/2020,0,0,0,0,Louisiana
1/23/2020,0,0,0,0,North Carolina
1/23/2020,0,0,0,0,Rhode Island
1/23/2020,0,0,0,0,Nevada
1/23/2020,0,0,0,0,Michigan
1/23/2020,0,0,0,0,Missouri
1/23/2020,0,0,0,0,California
1/23/2020,0,0,0,0,Montana
1/23/2020,0,0,0,0,Virginia
1/23/2020,0,0,0,0,Indiana
1/23/2020,0,0,0,0,Maryland
1/23/2020,0,0,0,0,New Hampshire
1/23/2020,0,0,0,0,Delaware
1/23/2020,0,0,0,0,Federated States of Micronesia
1/23/2020,0,0,0,0,Illinois
1/23/2020,0,0,0,0,North Dakota
1/23/2020,0,0,0,0,Alabama
1/23/2020,0,0,0,0,District of Columbia
1/23/2020,0,0,0,0,Wyoming
1/23/2020,0,0,0,0,New Jersey
1/23/2020,0,0,0,0,Arizona
1/23/2020,0,0,0,0,Guam
1/23/2020,1,0,0,0,Washington
1/23/2020,0,0,0,0,Maine
1/23/2020,0,0,0,0,Wisconsin
1/23/2020,0,0,0,0,Virgin Islands
1/23/2020,0,0,0,0,Idaho
1/23/2020,0,0,0,0,Nebraska
1/23/2020,0,0,0,0,Connecticut
1/23/2020,0,0,0,0,South Carolina
1/23/2020,0,0,0,0,Florida
1/23/2020,0,0,0,0,Georgia
1/23/2020,0,0,0,0,Republic of Palau
1/23/2020,0,0,0,0,Utah
1/23/2020,0,0,0,0,Iowa
1/23/2020,0,0,0,0,Massachusetts
1/23/2020,0,0,0,0,Arkansas
1/23/2020,0,0,0,0,South Dakota
1/23/2020,0,0,0,0,American Samoa
1/23/2020,0,0,0,0,West Virginia
1/23/2020,0,0,0,0,Marshall Islands
1/23/2020,0,0,0,0,Northern Mariana Islands
1/23/2020,0,0,0,0,Alaska
1/23/2020,0,0,0,0,Colorado
1/23/2020,0,0,0,0,Oklahoma
1/24/2020,0,0,0,0,Massachusetts
1/24/2020,0,0,0,0,American Samoa
1/24/2020,0,0,0,0,Arkansas
1/24/2020,0,0,0,0,Kansas
1/24/2020,0,0,0,0,Texas
1/24/2020,0,0,0,0,Florida
1/24/2020,0,0,0,0,Puerto Rico
1/24/2020,0,0,0,0,Utah
1/24/2020,0,0,0,0,West Virginia
1/24/2020,0,0,0,0,New Mexico
1/24/2020,0,0,0,0,Northern Mariana Islands
1/24/2020,0,0,0,0,South Dakota
1/24/2020,0,0,0,0,Tennessee
1/24/2020,0,0,0,0,New Hampshire
1/24/2020,0,0,0,0,Montana
1/24/2020,0,0,0,0,Wyoming
1/24/2020,0,0,0,0,Delaware
1/24/2020,0,0,0,0,New Jersey
1/24/2020,0,0,0,0,Idaho
1/24/2020,0,0,0,0,Arizona
1/24/2020,0,0,0,0,Virginia
1/24/2020,0,0,0,0,Maine
1/24/2020,0,0,0,0,Federated States of Micronesia
1/24/2020,0,0,0,0,North Carolina
1/24/2020,0,0,0,0,Missouri
1/24/2020,0,0,0,0,Alabama
1/24/2020,0,0,0,0,Guam
1/24/2020,0,0,0,0,Wisconsin
1/24/2020,0,0,0,0,Michigan
1/24/2020,1,0,0,0,Washington
1/24/2020,0,0,0,0,California
1/24/2020,0,0,0,0,Nebraska
1/24/2020,0,0,0,0,Vermont
1/24/2020,0,0,0,0,Minnesota
1/24/2020,0,0,0,0,Kentucky
1/24/2020,0,0,0,0,Maryland
1/24/2020,0,0,0,0,Mississippi
1/24/2020,0,0,0,0,Nevada
1/24/2020,0,0,0,0,District of Columbia
1/24/2020,1,1,0,0,Illinois
1/24/2020,0,0,0,0,Oregon
1/24/2020,0,0,0,0,Virgin Islands
1/24/2020,0,0,0,0,Louisiana
1/24/2020,0,0,0,0,Rhode Island
1/24/2020,0,0,0,0,Indiana
1/24/2020,0,0,0,0,South Carolina
1/24/2020,0,0,0,0,Connecticut
1/24/2020,0,0,0,0,North Dakota
1/24/2020,0,0,0,0,Pennsylvania
1/24/2020,0,0,0,0,Colorado
1/24/2020,0,0,0,0,Ohio
1/24/2020,0,0,0,0,Republic of Palau
1/24/2020,0,0,0,0,Iowa
1/24/2020,0,0,0,0,Georgia
1/24/2020,0,0,0,0,Marshall Islands
1/24/2020,0,0,0,0,Oklahoma
1/24/2020,0,0,0,0,Hawaii
1/24/2020,0,0,0,0,Alaska
1/25/2020,0,0,0,0,Puerto Rico
1/25/2020,0,0,0,0,Northern Mariana Islands
1/25/2020,0,0,0,0,South Dakota
1/25/2020,0,0,0,0,Kansas
1/25/2020,0,0,0,0,Tennessee
1/25/2020,0,0,0,0,Oklahoma
1/25/2020,0,0,0,0,Massachusetts
1/25/2020,0,0,0,0,Florida
1/25/2020,0,0,0,0,Iowa
1/25/2020,0,0,0,0,Colorado
1/25/2020,0,0,0,0,Pennsylvania
1/25/2020,0,0,0,0,Ohio
1/25/2020,0,0,0,0,New Mexico
1/25/2020,0,0,0,0,Republic of Palau
1/25/2020,0,0,0,0,Montana
1/25/2020,0,0,0,0,California
1/25/2020,0,0,0,0,Nebraska
1/25/2020,1,0,0,0,Illinois
1/25/2020,0,0,0,0,Kentucky
1/25/2020,0,0,0,0,Virgin Islands
1/25/2020,0,0,0,0,North Dakota
1/25/2020,0,0,0,0,New Hampshire
1/25/2020,0,0,0,0,Arizona
1/25/2020,0,0,0,0,North Carolina
1/25/2020,0,0,0,0,Federated States of Micronesia
1/25/2020,0,0,0,0,Alabama
1/25/2020,0,0,0,0,Guam
1/25/2020,0,0,0,0,Oregon
1/25/2020,0,0,0,0,Indiana
1/25/2020,0,0,0,0,Wyoming
1/25/2020,0,0,0,0,South Carolina
1/25/2020,0,0,0,0,New Jersey
1/25/2020,0,0,0,0,Rhode Island
1/25/2020,0,0,0,0,Vermont
1/25/2020,0,0,0,0,Connecticut
1/25/2020,0,0,0,0,Maryland
1/25/2020,0,0,0,0,Michigan
1/25/2020,0,0,0,0,Mississippi
1/25/2020,0,0,0,0,Minnesota
1/25/2020,0,0,0,0,Idaho
1/25/2020,0,0,0,0,Nevada
1/25/2020,1,0,0,0,Washington
1/25/2020,0,0,0,0,Missouri
1/25/2020,0,0,0,0,Delaware
1/25/2020,0,0,0,0,Virginia
1/25/2020,0,0,0,0,Wisconsin
1/25/2020,0,0,0,0,Louisiana
1/25/2020,0,0,0,0,Maine
1/25/2020,0,0,0,0,District of Columbia
1/25/2020,0,0,0,0,Georgia
1/25/2020,0,0,0,0,Marshall Islands
1/25/2020,0,0,0,0,Arkansas
1/25/2020,0,0,0,0,West Virginia
1/25/2020,0,0,0,0,Alaska
1/25/2020,0,0,0,0,Hawaii
1/25/2020,0,0,0,0,Texas
1/25/2020,0,0,0,0,Utah
1/25/2020,0,0,0,0,American Samoa
1/26/2020,0,0,0,0,Utah
1/26/2020,0,0,0,0,Georgia
1/26/2020,0,0,0,0,Florida
1/26/2020,0,0,0,0,New Mexico
1/26/2020,0,0,0,0,Colorado
1/26/2020,0,0,0,0,Northern Mariana Islands
1/26/2020,0,0,0,0,Marshall Islands
1/26/2020,0,0,0,0,Texas
1/26/2020,0,0,0,0,West Virginia
1/26/2020,0,0,0,0,Ohio
1/26/2020,0,0,0,0,Iowa
1/26/2020,0,0,0,0,Arkansas
1/26/2020,0,0,0,0,North Carolina
1/26/2020,0,0,0,0,Maryland
1/26/2020,0,0,0,0,Montana
1/26/2020,0,0,0,0,Idaho
1/26/2020,0,0,0,0,New Hampshire
1/26/2020,1,1,0,0,Arizona
1/26/2020,2,2,0,0,California
1/26/2020,0,0,0,0,Nevada
1/26/2020,0,0,0,0,Maine
1/26/2020,0,0,0,0,Michigan
1/26/2020,0,0,0,0,Indiana
1/26/2020,0,0,0,0,Nebraska
1/26/2020,0,0,0,0,Federated States of Micronesia
1/26/2020,0,0,0,0,New Jersey
1/26/2020,0,0,0,0,Mississippi
